Normal Algorithm, TreeType, Size, SortedPercent, Normal Runtime, Tree Runtime
MergeSort, RB_TREE, 1, 0.0, 0.011429, 0.11644
MergeSort, RB_TREE, 101, 0.0, 1.000425, 1.525044
MergeSort, RB_TREE, 201, 0.0, 1.232343, 1.444747
MergeSort, RB_TREE, 301, 0.0, 0.650597, 2.559456
MergeSort, RB_TREE, 401, 0.0, 1.000434, 1.127837
MergeSort, RB_TREE, 501, 0.0, 1.192668, 1.0802
MergeSort, RB_TREE, 601, 0.0, 1.71406, 1.84272
MergeSort, RB_TREE, 701, 0.0, 1.847933, 2.954139
MergeSort, RB_TREE, 801, 0.0, 2.138118, 1.609377
MergeSort, RB_TREE, 901, 0.0, 2.109714, 1.754892
MergeSort, RB_TREE, 1001, 0.0, 2.320469, 1.95741
MergeSort, RB_TREE, 1101, 0.0, 2.345813, 1.817078
MergeSort, RB_TREE, 1201, 0.0, 4.423123, 1.726985
MergeSort, RB_TREE, 1301, 0.0, 3.405007, 2.505927
MergeSort, RB_TREE, 1401, 0.0, 3.695735, 3.116542
MergeSort, RB_TREE, 1501, 0.0, 3.371554, 2.009032
MergeSort, RB_TREE, 1601, 0.0, 2.386453, 2.55214
MergeSort, RB_TREE, 1701, 0.0, 2.558285, 2.072224
MergeSort, RB_TREE, 1801, 0.0, 2.572794, 3.247869
MergeSort, RB_TREE, 1901, 0.0, 2.914174, 2.086997
MergeSort, RB_TREE, 2001, 0.0, 3.175303, 3.93937
MergeSort, RB_TREE, 2101, 0.0, 3.225124, 2.442789
MergeSort, RB_TREE, 2201, 0.0, 4.069774, 2.872481
MergeSort, RB_TREE, 2301, 0.0, 5.199486, 2.746425
MergeSort, RB_TREE, 2401, 0.0, 4.344301, 2.971007
MergeSort, RB_TREE, 2501, 0.0, 4.150628, 3.065788
MergeSort, RB_TREE, 2601, 0.0, 5.577468, 3.413311
MergeSort, RB_TREE, 2701, 0.0, 4.660299, 3.573464
MergeSort, RB_TREE, 2801, 0.0, 5.460276, 3.288158
MergeSort, RB_TREE, 2901, 0.0, 4.818679, 3.598912
MergeSort, RB_TREE, 3001, 0.0, 5.19099, 4.884357
MergeSort, RB_TREE, 3101, 0.0, 3.731177, 2.46342
MergeSort, RB_TREE, 3201, 0.0, 3.752401, 2.440718
MergeSort, RB_TREE, 3301, 0.0, 4.568519, 3.227771
MergeSort, RB_TREE, 3401, 0.0, 4.756173, 2.966457
MergeSort, RB_TREE, 3501, 0.0, 3.951779, 2.572145
MergeSort, RB_TREE, 3601, 0.0, 12.169754, 2.820597
MergeSort, RB_TREE, 3701, 0.0, 6.620736, 2.970607
MergeSort, RB_TREE, 3801, 0.0, 7.754389, 2.54738
MergeSort, RB_TREE, 3901, 0.0, 5.598755, 2.316965
MergeSort, RB_TREE, 4001, 0.0, 3.364468, 2.263363
MergeSort, RB_TREE, 4101, 0.0, 5.343843, 2.734203
MergeSort, RB_TREE, 4201, 0.0, 3.847564, 2.371974
MergeSort, RB_TREE, 4301, 0.0, 4.542271, 2.785233
MergeSort, RB_TREE, 4401, 0.0, 4.5417, 2.475191
MergeSort, RB_TREE, 4501, 0.0, 4.292893, 3.075508
MergeSort, RB_TREE, 4601, 0.0, 3.002618, 2.387057
MergeSort, RB_TREE, 4701, 0.0, 3.893191, 3.281856
MergeSort, RB_TREE, 4801, 0.0, 3.760323, 2.465924
MergeSort, RB_TREE, 4901, 0.0, 4.457, 2.536087
MergeSort, RB_TREE, 5001, 0.0, 3.828452, 2.953651
MergeSort, RB_TREE, 5101, 0.0, 3.706731, 2.774542
MergeSort, RB_TREE, 5201, 0.0, 4.477505, 3.556294
MergeSort, RB_TREE, 5301, 0.0, 5.377491, 3.513765
MergeSort, RB_TREE, 5401, 0.0, 6.192762, 4.072119
MergeSort, RB_TREE, 5501, 0.0, 5.25265, 3.767026
MergeSort, RB_TREE, 5601, 0.0, 5.145837, 3.947782
MergeSort, RB_TREE, 5701, 0.0, 5.027439, 3.544924
MergeSort, RB_TREE, 5801, 0.0, 6.03316, 4.75114
MergeSort, RB_TREE, 5901, 0.0, 6.45964, 5.1278
MergeSort, RB_TREE, 6001, 0.0, 6.722314, 4.426254
MergeSort, RB_TREE, 6101, 0.0, 5.873418, 4.59998
MergeSort, RB_TREE, 6201, 0.0, 6.381441, 4.019571
MergeSort, RB_TREE, 6301, 0.0, 6.318409, 4.629898
MergeSort, RB_TREE, 6401, 0.0, 7.49924, 3.994782
MergeSort, RB_TREE, 6501, 0.0, 6.271816, 4.436359
MergeSort, RB_TREE, 6601, 0.0, 5.881626, 4.056523
MergeSort, RB_TREE, 6701, 0.0, 6.09319, 4.590925
MergeSort, RB_TREE, 6801, 0.0, 6.914751, 4.29267
MergeSort, RB_TREE, 6901, 0.0, 7.061015, 4.7185
MergeSort, RB_TREE, 7001, 0.0, 6.865909, 4.348343
MergeSort, RB_TREE, 7101, 0.0, 7.339672, 4.676554
MergeSort, RB_TREE, 7201, 0.0, 6.467032, 4.202877
MergeSort, RB_TREE, 7301, 0.0, 5.654432, 5.453489
MergeSort, RB_TREE, 7401, 0.0, 5.168993, 3.629351
MergeSort, RB_TREE, 7501, 0.0, 7.184203, 5.934813
MergeSort, RB_TREE, 7601, 0.0, 4.945901, 4.162032
MergeSort, RB_TREE, 7701, 0.0, 7.201846, 5.918014
MergeSort, RB_TREE, 7801, 0.0, 6.824652, 4.687297
MergeSort, RB_TREE, 7901, 0.0, 6.579669, 6.42276
MergeSort, RB_TREE, 8001, 0.0, 12.400119, 4.416343
MergeSort, RB_TREE, 8101, 0.0, 7.482042, 4.550277
MergeSort, RB_TREE, 8201, 0.0, 7.733481, 4.585906
MergeSort, RB_TREE, 8301, 0.0, 6.477912, 5.416695
MergeSort, RB_TREE, 8401, 0.0, 5.187644, 3.618298
MergeSort, RB_TREE, 8501, 0.0, 6.377967, 4.605085
MergeSort, RB_TREE, 8601, 0.0, 7.595678, 4.808434
MergeSort, RB_TREE, 8701, 0.0, 7.105252, 4.566273
MergeSort, RB_TREE, 8801, 0.0, 7.168495, 4.9891
MergeSort, RB_TREE, 8901, 0.0, 6.052941, 4.946836
MergeSort, RB_TREE, 9001, 0.0, 9.653645, 4.924395
MergeSort, RB_TREE, 9101, 0.0, 5.10956, 5.066168
MergeSort, RB_TREE, 9201, 0.0, 7.761565, 4.706357
MergeSort, RB_TREE, 9301, 0.0, 6.280914, 4.734859
MergeSort, RB_TREE, 9401, 0.0, 8.105062, 4.764708
MergeSort, RB_TREE, 9501, 0.0, 5.764194, 4.258816
MergeSort, RB_TREE, 9601, 0.0, 7.354018, 3.92123
MergeSort, RB_TREE, 9701, 0.0, 6.083678, 5.379647
MergeSort, RB_TREE, 9801, 0.0, 8.557162, 5.569163
MergeSort, RB_TREE, 9901, 0.0, 5.804446, 4.38564
MergeSort, RB_TREE, 1, 25.0, 0.014632, 0.151025
MergeSort, RB_TREE, 101, 25.0, 1.003487, 1.041194
MergeSort, RB_TREE, 201, 25.0, 1.032847, 1.019223
MergeSort, RB_TREE, 301, 25.0, 1.048702, 1.390857
MergeSort, RB_TREE, 401, 25.0, 0.700969, 0.980336
MergeSort, RB_TREE, 501, 25.0, 0.708946, 0.709753
MergeSort, RB_TREE, 601, 25.0, 0.879705, 0.731833
MergeSort, RB_TREE, 701, 25.0, 1.210972, 1.126503
MergeSort, RB_TREE, 801, 25.0, 1.515268, 1.529789
MergeSort, RB_TREE, 901, 25.0, 1.927136, 1.556953
MergeSort, RB_TREE, 1001, 25.0, 2.076855, 1.610137
MergeSort, RB_TREE, 1101, 25.0, 2.118946, 2.373376
MergeSort, RB_TREE, 1201, 25.0, 2.518318, 1.835892
MergeSort, RB_TREE, 1301, 25.0, 3.104117, 2.014161
MergeSort, RB_TREE, 1401, 25.0, 2.573218, 1.382145
MergeSort, RB_TREE, 1501, 25.0, 3.068739, 2.098701
MergeSort, RB_TREE, 1601, 25.0, 2.879149, 1.988276
MergeSort, RB_TREE, 1701, 25.0, 3.438587, 2.451379
MergeSort, RB_TREE, 1801, 25.0, 3.9329, 1.897222
MergeSort, RB_TREE, 1901, 25.0, 3.837463, 1.742575
MergeSort, RB_TREE, 2001, 25.0, 4.489458, 1.715309
MergeSort, RB_TREE, 2101, 25.0, 2.546621, 2.768247
MergeSort, RB_TREE, 2201, 25.0, 2.953058, 1.66482
MergeSort, RB_TREE, 2301, 25.0, 3.48161, 2.723959
MergeSort, RB_TREE, 2401, 25.0, 3.605895, 2.891738
MergeSort, RB_TREE, 2501, 25.0, 3.945861, 2.766923
MergeSort, RB_TREE, 2601, 25.0, 3.604715, 3.099937
MergeSort, RB_TREE, 2701, 25.0, 3.579361, 3.039771
MergeSort, RB_TREE, 2801, 25.0, 4.624263, 3.919445
MergeSort, RB_TREE, 2901, 25.0, 4.98192, 3.524498
MergeSort, RB_TREE, 3001, 25.0, 6.603586, 3.651946
MergeSort, RB_TREE, 3101, 25.0, 4.598473, 3.244805
MergeSort, RB_TREE, 3201, 25.0, 5.572686, 3.834545
